,precision@10,ild,coverage,novelty,serendipity,ndcg@10,avg_latency_ms
5. KMeans Clustering,1.0,0.0163,0.3451,4.2015,0.0752,1.0,8.51
8. BisectingKMeans,1.0,0.0163,0.3451,4.2015,0.0752,1.0,8.39
9. TwoStageHybrid (current prod),0.9996,0.0142,0.3517,4.2169,0.0692,0.9999,6.57
11. TwoStageHybridV3 (NMF+LDA),0.9996,0.0203,0.3705,4.2091,0.072,1.0,6.91
10. TwoStageHybridV2 (LDA),0.9994,0.0308,0.363,4.1768,0.074,1.0,6.58
3. WeightedHybrid,0.9994,0.0171,0.3503,4.2005,0.0706,0.9999,6.12
4. NMF (standalone),0.9992,0.016,0.4152,4.2515,0.0508,0.9998,5.27
7. GMM Clustering,0.86,0.3036,0.1842,4.2615,0.0728,0.9169,5.33
2. BM25 (baseline),0.3984,0.7836,0.4201,4.2759,0.0422,0.6899,360.31
1. TFIDFCosine (baseline),0.3878,0.7922,0.4132,4.2867,0.041,0.6805,5.36
6. LDA (standalone),0.2606,0.8656,0.3392,4.2983,0.0274,0.5356,5.12
